# Time-averaged data for fix fixflux1
# TimeStep v_Jz1 v_Jzk1 v_Jzp1 v_Jzb1 v_Jza1 v_Jzd1
551000 -2.23928e-06 -1.38038e-06 -7.41255e-07 -9.41362e-07 -3.86089e-07 -3.80528e-07
552000 -1.92517e-06 -1.92302e-06 -1.44726e-06 2.79247e-07 -4.17987e-07 -5.12942e-07
553000 -1.98573e-07 -4.64195e-08 2.82607e-07 -2.06147e-07 -8.48129e-08 -1.89838e-07
554000 -1.28072e-07 -3.11934e-07 -5.05223e-07 6.32784e-07 -3.39351e-07 -1.79313e-07
555000 -8.343e-07 -5.16907e-07 -1.29443e-06 3.55747e-07 1.01522e-07 2.79259e-08
556000 1.59659e-08 6.29563e-07 2.60235e-07 -5.49174e-07 1.76477e-07 2.71505e-07
557000 -3.43888e-07 9.83305e-07 1.08476e-06 -1.23409e-06 -3.54174e-07 2.4617e-07
558000 -1.26077e-06 -1.10476e-06 -8.65088e-07 3.69199e-07 -7.57001e-07 -3.15881e-07
559000 -1.50119e-06 -1.01814e-06 -1.06847e-06 -4.7198e-08 -2.14444e-07 -3.35012e-07
560000 3.34661e-07 1.71562e-06 1.18868e-06 -1.37052e-06 1.4087e-07 4.8195e-07
561000 1.33112e-06 1.54181e-06 1.58037e-06 -4.72565e-07 8.13045e-08 3.62689e-07
562000 -5.10784e-07 -1.32183e-06 -1.30464e-06 1.12842e-06 -1.70688e-07 -3.59485e-07
563000 -3.52512e-06 -1.95295e-06 -1.50888e-06 -1.13102e-06 -5.54214e-07 -7.17894e-07
564000 4.79311e-07 1.00067e-06 1.08248e-07 -6.90771e-08 3.62654e-07 2.45617e-07
565000 3.93827e-07 1.02304e-06 8.17569e-07 -7.30102e-07 -5.86219e-08 4.31425e-07
566000 -6.42547e-07 -4.71896e-07 -8.25519e-08 1.05224e-08 -5.20408e-07 -2.58984e-07
567000 -1.93999e-06 -1.02419e-06 -5.99854e-07 -4.16591e-07 -6.63773e-07 -2.76787e-07
568000 8.81901e-07 1.03445e-06 2.49757e-07 1.81849e-07 2.19823e-07 3.2076e-07
569000 -4.372e-07 1.12245e-06 2.60241e-07 -1.24946e-06 4.73774e-07 4.10412e-07
