# Time-averaged data for fix fixke
# TimeStep c_kea c_pea
551000 71551.6 -23403.7
552000 71658.5 -23250.8
553000 71654.5 -23328.1
554000 71579.8 -23408.6
555000 71615.1 -23312.3
556000 71775 -23217.3
557000 71613.9 -23422.7
558000 71586.5 -23436.1
559000 71519.4 -23518.4
560000 71447.7 -23623.1
561000 71531.6 -23484.4
562000 71474.3 -23550.8
563000 71440 -23620.4
564000 71443.8 -23759.9
565000 71480.4 -23675.2
566000 71448.1 -23629.1
567000 71511.6 -23549.2
568000 71413.4 -23622.7
569000 71418 -23703.4
570000 71388.9 -23746.2
571000 71313.8 -23799.1
572000 71404.2 -23756.6
573000 71335.8 -23700.6
574000 71292.3 -23786.7
575000 71332.8 -23761.6
576000 71348.9 -23788.5
577000 71394.6 -23721.1
578000 71348.1 -23771.7
579000 71315.5 -23775.9
580000 71253 -23754
581000 71330.8 -23800.3
582000 71263.5 -23835.9
583000 71241 -23823.5
584000 71169.9 -23757.7
585000 71293.6 -23742.2
586000 71230.9 -23829
587000 71254.8 -23846.2
588000 71334.5 -23712.2
589000 71401.9 -23654.6
590000 71343.2 -23682.6
591000 71440 -23659.9
592000 71391.2 -23657.2
593000 71414 -23718.5
594000 71402.9 -23746.7
595000 71342.9 -23729.1
596000 71477.5 -23619.9
597000 71517.5 -23622.1
598000 71487.9 -23599.6
599000 71514.4 -23636.2
600000 71428 -23667.9
601000 71438.1 -23642.9
602000 71449.9 -23601.5
603000 71457.6 -23568.2
604000 71409.3 -23548.4
605000 71571.9 -23427.2
606000 71506 -23588.1
607000 71349.2 -23728.7
608000 71273.4 -23888
609000 71334.1 -23843
610000 71316.3 -23834
611000 71393.4 -23769.6
612000 71378.7 -23653.8
613000 71191.7 -23803.9
614000 71175.2 -23840.5
615000 71136 -23873.1
616000 71235.9 -23783.8
617000 71262.3 -23783.5
618000 71233.3 -23699.2
619000 71313.5 -23698
620000 71280 -23683.2
621000 71320 -23604.9
622000 71301.8 -23563.9
623000 71308.5 -23623.4
