# Time-averaged data for fix fixflux1
# TimeStep v_ptemp f_fix1 f_fix2 f_fix3 f_fix4 f_fix5 f_fix6 f_fix7 f_fix8 f_fix9 v_Jz1 v_Jzk1 v_Jzp1 v_Jzb1 v_Jza1 v_Jzd1 v_Jzi1 v_Jzks1
14010000 306.058 9.9853 -45.686 118.547 -44.5042 5.52875 71.324 68.1595 -38.4546 77.0497 -1.4515e-09 -1.17293e-09 -7.30182e-10 -3.95851e-10 -7.42261e-10 -5.43584e-10 -5.33327e-10 -5.33327e-10
14020000 304.42 5.23485 -50.801 146.582 -42.9916 2.02993 36.1533 80.7159 -91.1272 57.3111 -1.67111e-09 -2.16783e-09 -1.16176e-09 -2.02755e-10 -1.13556e-09 -9.89179e-10 -9.96492e-10 -9.96492e-10
14030000 303.966 7.77954 -3.87973 141.763 -6.87215 5.55782 25.8593 86.1669 -54.3172 57.8693 -2.67965e-09 -3.13124e-09 -1.75013e-09 -5.68788e-10 -1.52727e-09 -1.46613e-09 -1.44098e-09 -1.44098e-09
14040000 303.511 22.8517 -37.6291 151.2 -66.254 13.7572 54.984 90.3373 -77.5349 47.8814 -2.33977e-09 -2.91276e-09 -1.6407e-09 -2.7776e-10 -1.45869e-09 -1.30769e-09 -1.31446e-09 -1.31446e-09
14050000 302.717 -13.7856 -22.4832 112.77 -29.1575 -0.90359 30.0416 73.9854 -53.8163 30.509 -1.53655e-09 -1.43992e-09 -9.75445e-10 -3.16851e-10 -8.14049e-10 -6.7223e-10 -6.70485e-10 -6.70485e-10
14060000 301.403 -27.1142 -36.6312 126.175 -22.6281 -10.9596 42.5922 69.2866 -58.0458 60.8691 9.20121e-10 9.90236e-10 9.48815e-10 -2.23604e-11 3.9134e-10 4.56465e-10 4.61094e-10 4.61094e-10
14070000 301.225 -40.5917 -8.11419 154.628 -16.6095 -1.36497 62.2208 82.4825 -45.7202 57.9772 3.4336e-10 6.82729e-10 2.84546e-10 3.33789e-12 3.20762e-10 3.11413e-10 3.14857e-10 3.14857e-10
14080000 300.118 31.9854 -24.1388 137.159 -30.1461 -7.17947 39.7886 114.637 -89.31 43.3883 2.0912e-09 2.66974e-09 1.47999e-09 1.74443e-10 1.43583e-09 1.21681e-09 1.2214e-09 1.2214e-09
14090000 300.474 8.1679 -23.3733 165.34 -22.3814 -7.23388 43.6448 95.4258 -45.2964 57.4322 1.06517e-09 8.53056e-10 3.42014e-10 3.08669e-10 7.51425e-10 3.85816e-10 3.93952e-10 3.93952e-10
14100000 299.998 -5.82672 -18.7969 139.282 -6.31736 -32.1607 59.5809 103.372 -86.7337 51.7841 3.37387e-10 3.39741e-10 2.66865e-10 3.57786e-11 1.53526e-10 1.49778e-10 1.52076e-10 1.52076e-10
14110000 299.847 -29.7205 -50.2805 167.141 -50.6854 -6.42153 31.8195 84.2215 -70.3976 36.8714 1.33151e-09 1.31832e-09 7.57219e-10 3.02694e-10 7.52338e-10 6.16835e-10 6.03974e-10 6.03974e-10
14120000 300.712 -28.8411 -7.45066 137.841 -14.7303 25.027 50.8149 90.5805 -69.0746 76.2486 2.99777e-09 3.69912e-09 2.15495e-09 3.79328e-10 1.83468e-09 1.70021e-09 1.69263e-09 1.69263e-09
14130000 300.418 -18.3743 -30.889 143.223 -22.5927 -3.06446 48.1196 89.0989 -73.874 53.519 6.36515e-10 6.66059e-10 3.41911e-10 9.91651e-11 4.67208e-10 3.21691e-10 3.1488e-10 3.1488e-10
14140000 300.231 -23.7052 -33.2183 165.053 -19.7108 -13.7135 55.8658 97.8529 -35.8536 64.3558 -3.70314e-10 -1.90762e-10 -3.90886e-10 -8.24874e-11 -3.30358e-11 -1.07144e-10 -1.085e-10 -1.085e-10
14150000 300.82 -8.50986 2.15953 161.757 -7.53407 34.9873 31.3687 83.9033 -45.7546 44.4997 6.26882e-10 7.61644e-10 4.68344e-10 1.50828e-10 2.68463e-10 3.32065e-10 3.38615e-10 3.38615e-10
14160000 300.2 -35.5717 -34.3564 159.676 -60.3701 17.2186 38.8812 72.3464 -48.249 38.3482 -3.31317e-10 -4.33773e-10 -1.67161e-10 -6.18238e-11 -2.26568e-10 -2.08506e-10 -1.91629e-10 -1.91629e-10
14170000 299.158 -49.8519 -33.1179 185.88 -26.9568 19.753 60.0831 88.1778 -39.2729 83.7993 -1.84455e-09 -2.55387e-09 -1.35339e-09 -2.21368e-10 -1.23216e-09 -1.17709e-09 -1.17334e-09 -1.17334e-09
