# Time-averaged data for fix fixflux1
# TimeStep v_ptemp f_fix1 f_fix2 f_fix3 f_fix4 f_fix5 f_fix6 f_fix7 f_fix8 f_fix9 v_Jz1 v_Jzk1 v_Jzp1 v_Jzb1 v_Jza1 v_Jzd1 v_Jzi1 v_Jzks1
14510000 332.587 -105.985 -15.586 42.2669 36.3548 -4.92382 -62.0305 -68.9039 56.0929 -44.5603 -9.15889e-10 -8.84206e-10 -2.52344e-10 -4.04094e-10 -5.8423e-10 -4.21509e-10 -4.07623e-10 -4.07623e-10
14520000 332.975 -94.7514 21.1112 6.60052 61.1621 -37.2319 -74.9038 -73.4939 56.3725 -73.4512 -6.07734e-10 -5.36973e-10 -3.45152e-10 -1.3105e-10 -3.15949e-10 -2.42597e-10 -2.40997e-10 -2.40997e-10
14530000 332.441 -103.104 9.81828 4.57779 48.789 -43.6235 -64.312 -73.1592 61.0156 -54.0907 -1.3597e-10 -3.75057e-10 -2.03963e-10 -9.40325e-11 9.52093e-11 -1.63654e-10 -1.51382e-10 -1.51382e-10
14540000 331.306 -93.3128 23.3266 -0.928055 69.9124 -38.0167 -47.9035 -86.7142 65.9534 -49.4797 1.02454e-09 1.47084e-09 8.24022e-10 -1.03916e-10 8.46066e-10 6.67774e-10 6.70061e-10 6.70061e-10
14550000 332.374 -66.2172 -6.82953 -31.0386 57.5139 -43.6281 -83.2717 -81.0282 47.0445 -79.6468 2.17102e-09 2.68329e-09 1.66475e-09 2.64368e-10 1.21594e-09 1.226e-09 1.22083e-09 1.22083e-09
14560000 334.058 -89.7542 -6.57067 -8.71252 54.3629 -2.20742 -71.0116 -65.3291 24.1143 -59.165 -6.96165e-10 -1.20252e-09 -7.75853e-10 1.18263e-10 -4.86111e-10 -5.29449e-10 -5.44877e-10 -5.44877e-10
14570000 333.216 -98.8238 28.1968 2.00943 49.954 13.0886 -20.4819 -83.228 12.3716 -27.7984 -5.38467e-10 -7.3075e-10 -5.67436e-10 1.93782e-10 -4.9115e-10 -3.30451e-10 -3.46884e-10 -3.46884e-10
14580000 334.657 -109.011 39.4206 5.17722 57.3421 -10.3429 -43.8752 -73.5558 15.828 -45.433 1.21747e-09 2.13118e-09 8.76236e-10 6.5904e-11 1.07658e-09 9.91903e-10 9.81084e-10 9.81084e-10
14590000 335.524 -86.515 35.2226 58.5133 50.647 -45.1395 -44.8845 -88.2246 20.2031 -48.3713 2.78976e-09 3.40051e-09 2.05947e-09 3.6137e-10 1.68648e-09 1.56289e-09 1.57024e-09 1.57024e-09
14600000 335.399 -104.727 -5.01798 32.53 29.4541 -41.1208 -8.51383 -73.7243 8.36505 -25.4145 3.74214e-10 7.11902e-10 2.44781e-10 -9.33965e-11 5.23493e-10 3.2369e-10 3.34064e-10 3.34064e-10
14610000 333.889 -103.785 34.4341 28.8327 36.6618 -5.97134 -73.8812 -77.0852 44.1296 -48.0571 -2.46669e-10 -1.44032e-10 -6.66743e-11 -7.81009e-11 -2.20462e-10 -8.20405e-11 -8.61603e-11 -8.61603e-11
14620000 333.694 -107.458 24.0921 4.13729 44.5138 -14.6517 -69.746 -60.215 24.5506 -45.0475 -2.50112e-09 -2.47897e-09 -1.44627e-09 -5.2058e-10 -1.42724e-09 -1.11771e-09 -1.12241e-09 -1.12241e-09
14630000 334.711 -81.7968 19.2313 -5.45963 51.8111 -15.9882 -68.1659 -112.047 14.364 -47.2802 -1.3233e-09 -1.15487e-09 -8.21724e-10 -2.12267e-10 -7.85092e-10 -5.41542e-10 -5.48049e-10 -5.48049e-10
14640000 334.38 -94.7013 23.3185 -21.8343 35.0254 -5.03046 -61.7643 -73.9468 15.4766 -40.4783 -1.68886e-09 -2.08482e-09 -1.03087e-09 -2.23984e-10 -1.19367e-09 -9.62656e-10 -9.51783e-10 -9.51783e-10
14650000 334.33 -96.2123 -11.6347 10.3349 38.7897 -14.6202 -55.4826 -68.8656 11.704 -45.2494 -1.11444e-09 -1.10862e-09 -7.41555e-10 -2.4873e-10 -6.0801e-10 -5.28668e-10 -5.30285e-10 -5.30285e-10
14660000 333.144 -94.4504 10.3256 11.6705 24.5183 -13.7932 -56.0264 -124.491 36.9475 -62.3994 -1.1778e-09 -6.995e-10 -3.4941e-10 -3.59729e-10 -6.67041e-10 -2.92023e-10 -2.97476e-10 -2.97476e-10
14670000 334.213 -105.651 -2.76322 -10.7182 22.7286 21.2027 -45.4964 -86.0794 39.0944 -36.1695 -9.42091e-10 -8.35118e-10 -3.66498e-10 -2.99513e-10 -5.93216e-10 -3.85921e-10 -3.84543e-10 -3.84543e-10
14680000 333.895 -109.468 30.1839 22.6339 31.4121 6.76106 -76.3627 -87 3.75792 -66.4813 -8.20629e-12 -5.11532e-10 -4.43947e-10 3.98543e-10 -2.34358e-10 -2.44676e-10 -2.56941e-10 -2.56941e-10
14690000 334.585 -114.757 -21.6908 -11.0545 -23.673 16.8197 -84.2866 -68.4019 20.2167 -45.1785 -1.91576e-10 3.38955e-11 -2.04063e-11 -1.65574e-10 -1.12271e-11 1.4837e-11 1.07752e-11 1.07752e-11
14700000 334.556 -81.2921 1.79574 -2.158 -8.41769 -3.3691 -50.8996 -60.4619 13.67 -29.6745 1.57718e-09 2.1798e-09 1.12886e-09 2.19735e-10 1.05179e-09 9.88437e-10 9.97859e-10 9.97859e-10
14710000 334.176 -102.543 21.4041 -23.0636 40.6147 12.6807 -77.3476 -54.7955 5.915 -62.1621 2.11423e-09 2.2479e-09 1.11988e-09 3.30169e-10 1.55775e-09 1.03113e-09 1.04315e-09 1.04315e-09
14720000 333.811 -113.727 5.48766 13.1808 31.05 -10.5443 -35.9957 -68.569 -15.4105 -35.3478 1.92557e-09 2.32949e-09 1.01959e-09 5.95843e-10 1.1408e-09 1.07116e-09 1.05783e-09 1.05783e-09
14730000 334.681 -107.771 31.785 29.4194 54.3113 -8.16019 -44.4496 -81.7592 16.8683 -23.5923 2.21794e-09 2.68569e-09 1.70146e-09 2.54178e-10 1.2585e-09 1.2121e-09 1.2235e-09 1.2235e-09
14740000 334.141 -104.518 22.4554 -8.53793 17.069 -10.0931 -59.8923 -82.887 12.5339 -54.5457 2.35103e-10 4.92592e-10 4.10583e-10 -1.64286e-10 2.15419e-10 2.38805e-10 2.39502e-10 2.39502e-10
14750000 334.358 -102.625 44.0469 -6.22192 58.2363 -14.952 -41.4575 -86.06 10.7437 -10.1236 -3.1036e-10 -4.64405e-10 -4.83796e-10 8.69312e-12 -4.93415e-11 -2.51124e-10 -2.32403e-10 -2.32403e-10
14760000 333.517 -126.419 25.9677 -6.85628 55.6243 30.7294 -48.8269 -81.0621 27.2522 -40.2291 -4.54117e-10 -7.15834e-10 -4.41229e-10 -1.28003e-10 -1.1844e-10 -3.21525e-10 -3.17729e-10 -3.17729e-10
14770000 332.795 -111.247 41.5905 6.54038 58.4563 19.9638 -64.5497 -77.7372 31.4089 -58.7202 -1.91344e-09 -2.20652e-09 -1.00148e-09 -5.151e-10 -1.14346e-09 -9.93906e-10 -9.86759e-10 -9.86759e-10
14780000 332.378 -131.462 1.71553 8.77633 35.2993 9.31665 -50.2637 -78.4046 46.6901 -36.0791 9.1368e-11 4.21769e-11 2.47293e-10 -5.64047e-11 -1.11483e-10 6.01229e-12 9.05654e-12 9.05654e-12
14790000 332.087 -94.6168 -10.221 -29.1925 19.9347 16.75 -61.5508 -56.872 45.2603 -70.6355 -2.64084e-09 -2.86879e-09 -1.62938e-09 -4.97503e-10 -1.64e-09 -1.33295e-09 -1.33195e-09 -1.33195e-09
14800000 331.809 -83.2623 -13.3403 -33.6883 34.0705 16.7625 -41.7675 -19.4849 20.442 -25.6989 -1.96095e-09 -2.11625e-09 -1.2563e-09 -4.04296e-10 -1.07658e-09 -9.58662e-10 -9.62785e-10 -9.62785e-10
14810000 331.626 -120.193 -9.04627 0.550236 28.1932 -5.06713 -60.4169 -41.1646 34.7878 -52.7877 -1.16947e-09 -1.21398e-09 -6.6248e-10 -1.52561e-10 -8.07397e-10 -5.60581e-10 -5.56883e-10 -5.56883e-10
14820000 333.49 -118.229 20.2837 12.1308 60.5456 -17.4621 -41.5346 -54.1046 59.6196 -39.0994 -5.86409e-10 -4.45819e-10 -1.67378e-10 -2.1872e-10 -3.65145e-10 -2.04648e-10 -2.03825e-10 -2.03825e-10
14830000 334.714 -104.07 21.6048 -1.93493 31.138 -4.00801 -56.8395 -84.4773 24.552 -53.2702 4.90778e-10 4.10668e-10 1.79922e-10 2.5703e-10 2.06414e-10 2.05322e-10 1.92145e-10 1.92145e-10
14840000 335.561 -103.568 4.81836 -19.932 25.8173 0.456978 -65.5866 -76.0937 15.3084 -56.2526 5.69564e-10 8.80978e-10 6.2818e-10 -2.16982e-11 2.87417e-10 3.86462e-10 3.97944e-10 3.97944e-10
14850000 336.099 -88.3545 23.2696 -0.374629 54.3143 31.4264 -64.8145 -94.9629 23.1456 -59.2524 -4.91374e-10 -1.22682e-10 -1.20269e-10 -3.91991e-10 2.33157e-11 -5.47539e-11 -4.37515e-11 -4.37515e-11
14860000 336.471 -94.7118 8.3486 -7.96596 23.0697 36.8111 -84.7496 -63.8122 29.6309 -82.1963 1.88386e-09 2.14869e-09 1.25025e-09 4.08368e-10 1.03238e-09 1.01039e-09 9.91553e-10 9.91553e-10
14870000 337.453 -103.757 -4.02638 9.15097 28.2655 12.9608 -96.1833 -110.171 16.0895 -47.2841 2.62433e-09 2.50524e-09 1.23215e-09 7.85493e-10 1.49141e-09 1.14948e-09 1.13486e-09 1.13486e-09
14880000 335.456 -122.466 -3.9913 2.19331 35.9891 16.832 -72.3415 -88.6846 -4.72477 -52.9171 1.52953e-09 2.04734e-09 8.93148e-10 3.02631e-10 1.02847e-09 9.2804e-10 9.17526e-10 9.17526e-10
14890000 335.452 -105.313 -18.0057 -6.55469 32.5502 7.09272 -98.1892 -47.7092 1.30702 -87.6168 -2.02885e-10 -2.62087e-10 -5.6363e-11 -1.47994e-10 -1.39784e-11 -1.1088e-10 -9.71045e-11 -9.71045e-11
14900000 337.074 -114.44 -6.93516 -16.2769 26.9291 41.1721 -71.4085 -68.386 52.1596 -65.5453 -1.92237e-09 -1.96909e-09 -1.35245e-09 -1.61138e-10 -1.15297e-09 -8.86732e-10 -9.00004e-10 -9.00004e-10
14910000 337.057 -93.0917 34.2134 -23.6752 57.8078 24.832 -50.168 -98.9094 21.6133 -51.7491 -1.45376e-09 -1.51257e-09 -1.02853e-09 -1.89714e-10 -7.91079e-10 -6.80797e-10 -6.87231e-10 -6.87231e-10
14920000 337.497 -104.304 -23.2749 11.9568 42.849 4.0161 -73.0229 -86.3808 3.14985 -57.8244 -1.49973e-09 -1.20618e-09 -3.27273e-10 -6.40394e-10 -9.85021e-10 -5.64389e-10 -5.55882e-10 -5.55882e-10
14930000 337.19 -129.118 16.3754 26.1296 37.6745 36.1729 -86.5002 -91.3327 46.7746 -69.5024 -3.26042e-10 1.40621e-10 2.33364e-10 -2.77643e-10 -1.87046e-10 7.75835e-11 7.82304e-11 7.82304e-11
14940000 336.693 -92.0885 8.06575 3.58844 64.7069 13.1927 -69.551 -103.933 9.38704 -50.9232 -2.41295e-09 -2.97439e-09 -1.80454e-09 -3.72217e-10 -1.29903e-09 -1.34102e-09 -1.34456e-09 -1.34456e-09
14950000 335.941 -121.033 2.03374 29.9933 53.5216 3.81409 -50.8876 -89.5488 14.6363 -29.8934 -3.1053e-09 -2.96296e-09 -1.64043e-09 -7.95415e-10 -1.76405e-09 -1.3453e-09 -1.35072e-09 -1.35072e-09
14960000 336.626 -110.851 -19.8061 4.91415 41.0882 -7.78356 -77.9649 -79.3983 32.3885 -75.2545 4.38402e-10 8.8472e-10 6.63226e-10 -1.61598e-10 3.08359e-10 4.14071e-10 4.17594e-10 4.17594e-10
14970000 338.231 -82.5615 -14.1014 27.1307 21.2679 16.9721 -62.6373 -117.777 2.23495 -37.9725 2.56318e-09 2.44269e-09 1.23525e-09 7.56907e-10 1.44411e-09 1.10394e-09 1.10493e-09 1.10493e-09
14980000 338.835 -113.713 -20.2351 -0.681238 26.9412 2.21101 -49.7213 -81.1289 -3.40824 -25.4355 3.05382e-09 3.51957e-09 1.8302e-09 6.60207e-10 1.84511e-09 1.60763e-09 1.60223e-09 1.60223e-09
14990000 338.724 -129.498 8.15413 -12.1443 48.2581 26.918 -40.8653 -111.394 15.3008 -58.8387 2.5349e-09 3.63883e-09 2.0562e-09 2.03551e-10 1.66264e-09 1.67535e-09 1.67542e-09 1.67542e-09
15000000 339.519 -106.604 3.04986 -22.1869 63.3173 15.9126 -44.2199 -84.6626 0.684179 -72.126 3.06573e-09 3.45722e-09 2.03477e-09 4.94789e-10 1.84458e-09 1.5717e-09 1.58433e-09 1.58433e-09
15010000 339.881 -75.2768 -5.58892 -6.28633 54.0262 32.3384 -43.102 -79.1863 6.88641 -50.2117 1.25226e-09 1.23732e-09 2.12598e-10 4.24361e-10 1.01912e-09 5.55119e-10 5.49065e-10 5.49065e-10
15020000 339.183 -110.863 -3.25178 -21.6614 31.1011 39.514 -48.245 -77.3153 -7.97676 -78.3425 -2.59843e-10 -3.42466e-10 -1.58275e-10 -6.87551e-11 -1.31049e-10 -1.39163e-10 -1.44966e-10 -1.44966e-10
15030000 339.178 -94.5854 9.76417 -3.75616 40.4999 11.4773 -86.0768 -103.664 21.2859 -78.4109 -1.57799e-10 -8.38039e-11 -5.86741e-11 -1.1062e-10 -2.98544e-11 -5.96002e-11 -4.61884e-11 -4.61884e-11
15040000 338.999 -87.1307 -23.595 -1.42948 48.6557 26.7202 -84.7244 -57.5187 25.3863 -84.2354 -2.9219e-09 -3.248e-09 -1.92125e-09 -3.99237e-10 -1.80645e-09 -1.48278e-09 -1.48395e-09 -1.48395e-09
15050000 338.345 -80.2808 -33.8889 -8.50276 40.8377 -0.76945 -80.1793 -50.9662 -14.6326 -74.9786 -3.41824e-09 -3.76221e-09 -2.06008e-09 -5.85331e-10 -2.19974e-09 -1.70151e-09 -1.72266e-09 -1.72266e-09
15060000 338.311 -101.95 14.9384 29.72 77.6719 -16.0046 -100.131 -72.2385 -20.248 -69.9819 -2.42018e-09 -2.59227e-09 -1.44619e-09 -4.92514e-10 -1.43518e-09 -1.19472e-09 -1.18517e-09 -1.18517e-09
15070000 337.61 -116.837 1.2489 33.6644 52.5114 -11.0092 -97.4674 -79.7406 -28.1017 -74.6087 -2.4803e-09 -2.62012e-09 -1.38002e-09 -5.46989e-10 -1.5303e-09 -1.20741e-09 -1.20113e-09 -1.20113e-09
15080000 338.117 -89.4085 -20.1427 38.3767 53.4743 -2.16958 -69.1726 -67.4003 27.0888 -37.0659 -2.4725e-09 -2.54408e-09 -1.47264e-09 -5.84738e-10 -1.32545e-09 -1.16754e-09 -1.15549e-09 -1.15549e-09
15090000 337.678 -125.139 -39.2062 17.0176 41.4439 -1.04914 -71.2151 -82.2896 21.0267 -57.0292 -1.23679e-09 -1.60939e-09 -7.6552e-10 -3.48229e-10 -7.11938e-10 -7.38901e-10 -7.34297e-10 -7.34297e-10
15100000 336.686 -102.131 -16.2136 31.7938 36.2386 20.0957 -80.7323 -84.2998 38.1693 -88.9157 3.77308e-10 4.64225e-10 2.52093e-10 1.22719e-10 1.62368e-10 2.18483e-10 2.10645e-10 2.10645e-10
15110000 335.419 -58.1787 9.55703 3.73121 104.182 32.7727 -48.524 -85.4604 -5.31093 -54.2856 1.0459e-09 7.98095e-10 3.54437e-10 2.64717e-10 7.18402e-10 3.36398e-10 3.56537e-10 3.56537e-10
15120000 335.117 -80.6033 -13.668 19.124 54.544 0.0821055 -74.2352 -74.3899 -20.6606 -37.3334 1.79799e-09 1.59982e-09 1.04031e-09 3.66264e-10 1.06998e-09 7.52069e-10 7.57614e-10 7.57614e-10
15130000 334.979 -83.0708 19.9249 24.824 71.1361 -16.0922 -47.8211 -93.6392 8.51904 -65.166 2.33157e-09 3.04842e-09 1.53964e-09 4.72572e-10 1.47018e-09 1.42005e-09 1.40482e-09 1.40482e-09
15140000 336.275 -118.665 21.8534 -4.09611 71.8412 -53.2666 -66.0545 -52.3905 6.75606 -64.4419 3.27036e-09 3.91813e-09 2.16862e-09 5.26449e-10 2.03285e-09 1.7961e-09 1.79295e-09 1.79295e-09
15150000 336.259 -64.0375 -0.69034 -2.84276 62.5027 -32.7101 -71.2433 -71.6036 29.7415 -73.3716 2.79267e-09 2.88361e-09 1.60278e-09 5.95683e-10 1.64716e-09 1.32459e-09 1.31529e-09 1.31529e-09
15160000 336.573 -67.699 -5.35371 -1.36266 66.3361 -27.6747 -38.7233 -49.5633 -20.041 -53.1774 2.18429e-09 2.5707e-09 1.46285e-09 3.87774e-10 1.28552e-09 1.19044e-09 1.17825e-09 1.17825e-09
15170000 335.506 -65.5944 19.6361 -1.46063 51.5213 -20.0412 -31.5732 -92.675 -8.31756 -72.1096 9.33045e-10 7.47448e-10 1.30068e-10 4.08122e-10 6.56132e-10 3.43223e-10 3.37987e-10 3.37987e-10
15180000 336.466 -86.8746 26.9157 39.3662 68.0844 -47.7547 -85.9832 -112.234 22.0707 -88.5491 -2.17799e-10 -6.9648e-11 4.6747e-11 -1.22471e-10 -1.8403e-10 -3.89357e-11 -3.76346e-11 -3.76346e-11
