# Time-averaged data for fix fixke
# TimeStep c_kea c_pea
14010000 19073.9 -715924
14020000 19099 -715871
14030000 19073.2 -715964
14040000 19068.6 -715897
14050000 19075 -715828
14060000 19052.5 -715823
14070000 19056.3 -715930
14080000 19072.8 -715920
14090000 19041.8 -715944
14100000 19044.6 -715877
14110000 19083.6 -715820
14120000 19007.1 -715894
14130000 19028 -715840
14140000 19063.5 -715949
14150000 19053.8 -715979
14160000 19064.1 -715837
14170000 19035 -715953
14180000 19028.6 -715958
14190000 19064.7 -715976
14200000 19049.3 -715917
14210000 19078.9 -715890
14220000 19050.6 -715864
14230000 19050.4 -715901
14240000 19082 -715871
14250000 19034 -715867
14260000 19036.4 -715937
14270000 19039.5 -715900
14280000 19049.3 -715964
14290000 19037.7 -715954
14300000 19029.2 -715929
14310000 19068.6 -715888
14320000 19054.8 -715899
14330000 19039.4 -715893
14340000 19045.2 -715944
14350000 19042.6 -715933
14360000 19065.6 -715871
14370000 19028.6 -715855
14380000 19047.2 -715859
14390000 19032.9 -715898
14400000 19043 -715896
14410000 19025.3 -715873
14420000 19022.6 -715951
14430000 19012 -715965
14440000 19006.2 -716015
14450000 19032.7 -715896
14460000 19026.8 -715944
14470000 18992.8 -716000
14480000 18999.5 -715995
14490000 18989.1 -715978
14500000 18995.2 -715999
14510000 19042.4 -715945
14520000 18984.4 -716002
14530000 18997.6 -715957
14540000 18997 -715989
14550000 18994.8 -715988
14560000 19000.3 -715966
14570000 18994.3 -715923
14580000 19036.9 -715989
14590000 19032.6 -715974
14600000 19003.2 -716008
14610000 19006.1 -715993
14620000 19029.9 -715921
14630000 19028.2 -715910
14640000 18994.3 -715899
14650000 19018.6 -715991
14660000 19010.3 -715969
14670000 19013.2 -715944
14680000 18998.5 -715951
14690000 18986.2 -715991
14700000 19004.4 -715954
14710000 19011.2 -715948
14720000 19004.2 -715966
14730000 19017.2 -715971
14740000 18998.9 -715939
14750000 19027.1 -715902
14760000 19039.5 -715858
14770000 19006.5 -715953
14780000 19045.7 -715906
14790000 19041.2 -715949
14800000 19042.9 -715863
14810000 19019.3 -715886
14820000 19038.8 -715954
14830000 19048.6 -715897
14840000 19000.4 -715962
14850000 19001.4 -716005
14860000 19012.7 -715918
14870000 19027.4 -715941
14880000 19009.5 -715982
14890000 19023.4 -715937
14900000 19027.2 -715983
14910000 19025.6 -716034
14920000 19038.4 -715916
14930000 19042.1 -715942
14940000 19033.2 -715989
14950000 19039.7 -715959
14960000 19024.2 -716011
14970000 19021.6 -716062
14980000 19005.6 -716092
14990000 19001.5 -716017
15000000 19031 -715970
15010000 19049.7 -715922
15020000 19035 -715890
15030000 19026.6 -715929
15040000 19064 -715939
15050000 19057.2 -715990
15060000 19045.8 -715948
15070000 19043.3 -715940
15080000 19003.2 -715885
15090000 19027.1 -715955
15100000 19051.4 -715914
15110000 19041.4 -715937
15120000 19064.3 -715936
15130000 19076.7 -715852
15140000 19062 -715920
15150000 19044.4 -715958
15160000 19020.3 -715909
15170000 19039.5 -715907
15180000 19018.9 -715945
15190000 19025.2 -715924
15200000 19063.4 -715958
15210000 19053.9 -715955
15220000 19070.1 -715872
15230000 19032.8 -715974
15240000 19032.1 -715972
15250000 19028.2 -715953
15260000 19009.4 -715982
15270000 19024.4 -716022
