# Time-averaged data for fix fixke
# TimeStep c_kea c_pea
14510000 21242.2 -713497
14520000 21255.7 -713473
14530000 21294.9 -713507
14540000 21227.9 -713492
14550000 21299.2 -713435
14560000 21273.1 -713471
14570000 21264.2 -713565
14580000 21268.2 -713530
14590000 21238.2 -713512
14600000 21290.7 -713527
14610000 21262.9 -713523
14620000 21261 -713484
14630000 21269.6 -713445
14640000 21286.2 -713487
14650000 21265.7 -713455
14660000 21264.6 -713418
14670000 21259.7 -713479
14680000 21254.2 -713428
14690000 21285.8 -713373
14700000 21269.7 -713469
14710000 21292 -713475
14720000 21265 -713458
14730000 21242.4 -713532
14740000 21278.6 -713432
14750000 21268 -713547
14760000 21271.2 -713531
14770000 21265.2 -713536
14780000 21279.6 -713510
14790000 21285.7 -713467
14800000 21256.7 -713536
14810000 21278.1 -713478
14820000 21235.9 -713544
14830000 21262.1 -713458
14840000 21309.1 -713458
14850000 21253.9 -713502
14860000 21257.3 -713443
14870000 21282.3 -713407
14880000 21270.5 -713403
14890000 21287.1 -713384
14900000 21282.4 -713482
14910000 21298.6 -713547
14920000 21313 -713455
14930000 21280.2 -713491
14940000 21293.3 -713499
14950000 21274.1 -713509
14960000 21300.4 -713432
14970000 21291.2 -713468
14980000 21312.4 -713474
14990000 21310.2 -713482
15000000 21283.5 -713460
15010000 21276.6 -713534
15020000 21329.8 -713478
15030000 21275.9 -713411
15040000 21294.1 -713481
15050000 21304.4 -713427
15060000 21310.2 -713474
15070000 21306.3 -713409
15080000 21271.7 -713530
15090000 21321.3 -713450
15100000 21281.8 -713459
15110000 21267.4 -713594
15120000 21277.4 -713474
15130000 21253.9 -713498
15140000 21287.7 -713455
15150000 21293.9 -713494
15160000 21281.8 -713509
15170000 21263.6 -713465
15180000 21307.9 -713466
15190000 21256.7 -713559
15200000 21280.5 -713464
15210000 21288.4 -713409
15220000 21316.3 -713417
15230000 21274.2 -713544
15240000 21294.8 -713497
15250000 21286 -713520
15260000 21250.8 -713497
15270000 21286 -713528
15280000 21291.6 -713523
15290000 21278.3 -713419
15300000 21300.2 -713477
15310000 21286.1 -713516
15320000 21288 -713448
15330000 21297.3 -713408
15340000 21297.3 -713497
15350000 21287.6 -713515
15360000 21323.9 -713486
15370000 21320.8 -713497
15380000 21265.5 -713525
15390000 21260.9 -713493
15400000 21258.7 -713516
15410000 21283.1 -713451
15420000 21303.4 -713473
15430000 21307.2 -713475
15440000 21302.3 -713496
15450000 21343.5 -713380
15460000 21309 -713458
15470000 21257.1 -713416
15480000 21318 -713423
15490000 21277.9 -713446
15500000 21324.8 -713415
15510000 21349.8 -713408
15520000 21312.9 -713430
15530000 21298 -713456
15540000 21294 -713473
15550000 21296.6 -713426
15560000 21284.2 -713374
15570000 21305.6 -713362
15580000 21269.8 -713466
15590000 21298.6 -713468
15600000 21257.2 -713526
15610000 21300.4 -713482
15620000 21306.4 -713415
15630000 21325 -713429
15640000 21283.3 -713464
15650000 21279.1 -713388
15660000 21310.6 -713409
15670000 21293.1 -713342
15680000 21282.8 -713432
15690000 21299 -713548
15700000 21268 -713570
15710000 21322.7 -713456
15720000 21312.2 -713377
15730000 21316.5 -713502
15740000 21293.4 -713466
15750000 21289.8 -713467
15760000 21292.9 -713459
15770000 21316.1 -713431
15780000 21309.3 -713484
15790000 21280.3 -713545
15800000 21268.2 -713456
15810000 21295.8 -713372
15820000 21290.6 -713475
