# Time-averaged data for fix fixflux1
# TimeStep v_ptemp f_fix10 f_fix11 v_Jz1 v_Jzk1 v_Jzp1 v_Jzb1 v_Jza1 v_Jzd1 v_Jzi1 v_Jzks1
216610000 297.901 -520.285 12.8716 -9.00887e-10 -1.00934e-09 -5.80092e-10 -2.08576e-10 -5.05932e-10 -4.70741e-10 -4.68447e-10 -4.68447e-10
216620000 296.976 -530.486 22.6572 -7.04677e-10 -7.70804e-10 -4.66177e-10 -1.15481e-10 -4.40005e-10 -3.63806e-10 -3.62899e-10 -3.62899e-10
216630000 297.753 -549.78 52.8414 -8.41287e-10 -9.28127e-10 -5.71753e-10 -1.38264e-10 -5.07835e-10 -4.32988e-10 -4.3442e-10 -4.3442e-10
216640000 296.11 -531.832 41.6642 -7.61383e-10 -8.55064e-10 -5.14679e-10 -1.63187e-10 -4.20758e-10 -3.99804e-10 -3.98027e-10 -3.98027e-10
216650000 297.903 -520.041 52.5473 -5.09341e-10 -6.03188e-10 -3.34901e-10 -1.14724e-10 -2.86602e-10 -2.78732e-10 -2.77202e-10 -2.77202e-10
216660000 296.367 -520.844 47.5688 -8.94991e-10 -9.90578e-10 -5.72601e-10 -1.79931e-10 -5.25238e-10 -4.59754e-10 -4.58278e-10 -4.58278e-10
216670000 296.151 -535.059 37.8038 -9.52242e-10 -1.06761e-09 -5.78499e-10 -2.23301e-10 -5.63331e-10 -4.95473e-10 -4.93994e-10 -4.93994e-10
216680000 295.315 -543.541 29.9737 -5.12689e-10 -6.1795e-10 -3.59098e-10 -8.46994e-11 -3.17352e-10 -2.90006e-10 -2.89104e-10 -2.89104e-10
216690000 294.959 -500.089 37.2854 2.51412e-10 2.60804e-10 1.35722e-10 6.40075e-11 1.58866e-10 1.20181e-10 1.22042e-10 1.22042e-10
216700000 295.037 -544.833 52.4963 2.18204e-10 1.81161e-10 9.72626e-11 7.81728e-11 1.19512e-10 8.94567e-11 8.68403e-11 8.68403e-11
216710000 295.555 -541.443 57.075 3.3197e-10 4.14531e-10 2.44516e-10 4.14311e-11 1.98842e-10 1.85505e-10 1.88214e-10 1.88214e-10
216720000 297.83 -518.256 43.8647 3.82828e-10 4.35066e-10 2.48752e-10 7.31672e-11 2.44279e-10 1.98942e-10 2.04345e-10 2.04345e-10
216730000 296.439 -524.317 21.7128 3.55432e-10 4.22688e-10 2.753e-10 3.73064e-11 2.11382e-10 1.92674e-10 1.9598e-10 1.9598e-10
216740000 296.905 -526.896 57.1701 7.74499e-10 8.60299e-10 5.14743e-10 1.63537e-10 4.40255e-10 4.04341e-10 4.02169e-10 4.02169e-10
216750000 299.086 -537.961 23.2793 1.07286e-09 1.2432e-09 6.93402e-10 2.04948e-10 6.48835e-10 5.74238e-10 5.72942e-10 5.72942e-10
216760000 302.426 -543.92 42.3335 1.05186e-09 1.1481e-09 6.31467e-10 2.12806e-10 6.4183e-10 5.24587e-10 5.26732e-10 5.26732e-10
216770000 300.627 -571.596 41.6393 8.88804e-10 1.00034e-09 5.48688e-10 2.0902e-10 5.12924e-10 4.59905e-10 4.60517e-10 4.60517e-10
216780000 302.853 -562.948 51.5453 7.11131e-10 8.38332e-10 5.17254e-10 1.06981e-10 4.35474e-10 3.96125e-10 3.95759e-10 3.95759e-10
216790000 306.976 -528.264 34.5012 6.55345e-10 7.3314e-10 4.83015e-10 1.08036e-10 3.72692e-10 3.47218e-10 3.47189e-10 3.47189e-10
